columna,familia,dtype,dtype_general,n_null,null_pct,n_unique,unique_pct,es_constante,uso_sugerido,motivo,min,p25,median,mean,p75,max,std
infys_secc_cong_c2015_2020_derivado_mun_sitiosxcglc3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",10.0,145.0,287.0,411.39833850198187,688.0,1583.0,379.12123165636694
infys_secc_sitios_c2004_2009_derivado_mun_consenial_mean_20042009,infys,float64,numeric,9131,0.031255,17,5.8e-05,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.984,0.9988317757009346,0.9996771068776236,0.9986289432139648,1.0,1.0,0.003045326835139147
infys_secc_sitios_c2004_2009_derivado_mun_consenial_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1827.0,2505.365408193912,3424.0,10162.0,2262.741003606692
infys_secc_sitios_c2004_2009_derivado_mun_coordx_mean_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",-115.1084483630426,-104.0096806948004,-99.93095076000002,-100.51982848878521,-97.95142469734346,-88.16341420961231,6.205246638262734
infys_secc_sitios_c2004_2009_derivado_mun_coordx_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1827.0,2505.365408193912,3424.0,10162.0,2262.741003606692
infys_secc_sitios_c2004_2009_derivado_mun_coordy_mean_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",16.437395350140605,19.05634034035572,20.67323254102146,21.737324753517207,24.5985720853217,30.46396328693748,3.652957731604708
infys_secc_sitios_c2004_2009_derivado_mun_coordy_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1827.0,2505.365408193912,3424.0,10162.0,2262.741003606692
infys_secc_sitios_c2004_2009_derivado_mun_datum_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1827.0,2505.365408193912,3424.0,10162.0,2262.741003606692
infys_secc_sitios_c2004_2009_derivado_mun_distancia_mean_20042009,infys,float64,numeric,9131,0.031255,17,5.8e-05,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.0,0.0,0.0184824902723735,0.08793785226625221,0.137059346301965,0.9015421115065244,0.18107001125184027
infys_secc_sitios_c2004_2009_derivado_mun_distancia_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,812.0,1824.0,2492.0740349451444,3418.0,10127.0,2257.3088500710105
infys_secc_sitios_c2004_2009_derivado_mun_erosion_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1827.0,2505.623369786054,3424.0,10162.0,2262.950559808488
infys_secc_sitios_c2004_2009_derivado_mun_errorprecision_mean_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",4.625377643504532,5.8039988180833255,6.36964206805126,6.388798097341425,6.857649143532192,7.67083685545224,0.7701580004835854
infys_secc_sitios_c2004_2009_derivado_mun_errorprecision_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1826.0,2504.8816034485803,3424.0,10153.0,2261.7356352731167
