feature,familia,mean_original_imputed,std_original_imputed,min_original_imputed,max_original_imputed
infys_secc_cong_c2004_2009_derivado_mun_sitiosxcgl_mean_20042009,infys,3.410249821080159,0.42690717515449444,2.245869134170522,4.0
infys_secc_cong_c2009_2014_derivado_mun_altitud_mean_20092014,infys,1191.798928162036,743.9137958402654,42.29494505494505,2931.1052631578946
infys_secc_cong_c2009_2014_derivado_mun_pendietepromedio_mean_20092014,infys,23.719743376050992,10.17931318734008,2.35054945054945,43.33783783783784
infys_secc_cong_c2009_2014_derivado_mun_sitio2_mean_20092014,infys,0.9525077471477063,0.0319709227732183,0.8549488054607508,1.0
infys_secc_cong_c2009_2014_derivado_mun_sitio3_mean_20092014,infys,0.9512250945153786,0.040173633881699346,0.8310580204778157,1.0
infys_secc_cong_c2009_2014_derivado_mun_sitio4_mean_20092014,infys,0.944211989122351,0.04277595582855035,0.8139931740614335,1.0
infys_secc_cong_c2009_2014_derivado_mun_sitiosxcgl_mean_20092014,infys,3.6035023023756194,0.2647442498013208,2.8813438170121515,3.939393939393939
infys_secc_cong_c2015_2020_derivado_mun_consueloc3_mean_20152020,infys,0.4439337942567979,0.107612479984987,0.0925324675324675,0.6486486486486487
infys_secc_cong_c2015_2020_derivado_mun_sitiosxcglc3_mean_20152020,infys,3.306701286348849,0.4549940132594545,1.6442953020134228,4.0
infys_secc_sitios_c2009_2014_derivado_mun_pendientec1_mean_20092014,infys,18.16570758034972,7.547000275608347,1.393451876940446,29.21298701298701
infys_secc_sitios_c2009_2014_derivado_mun_pendientec2_mean_20092014,infys,17.863302253065946,7.650854201362292,1.1261998870694525,30.6046511627907
infys_secc_sitios_c2009_2014_derivado_mun_pendientec3_mean_20092014,infys,16.726849165320044,7.34473218697327,0.663362952836637,28.33879781420765
infys_secc_sitios_c2009_2014_derivado_mun_pendientec4_mean_20092014,infys,16.127898836455664,7.137632144287172,0.3724350205198358,27.756830601092897
infys_secc_sitios_c2009_2014_derivado_mun_porcentajerepoblado_mean_20092014,infys,24.589162041528077,6.580986981169126,13.259896729776248,42.63286832255869
infys_secc_sitios_c2015_2020_derivado_punto_conarboladoc3_mean_20152020,infys,0.7880140443962813,0.13798283736256048,0.3622754491017964,0.929620253164557
infys_secc_sitios_c2015_2020_derivado_punto_conarboladomanglarc3_mean_20152020,infys,0.0022861379340481124,0.0036081707257491534,0.0,0.0104333868378812
infys_secc_sitios_c2015_2020_derivado_punto_concobertura1m2c3_mean_20152020,infys,0.988635866056555,0.015959773358090245,0.9193548387096774,1.0
