fuente,grupo_fuente,formato,ruta,campo,es_critico,tipo_original,n_registros_fuente,nulos,pct_nulos,cardinalidad,ejemplos
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,causaesp,no,object,628,0,0.0,18,Desconocidas | Cambio de uso de suelo | Vandalismo | Rencillas | Ninguna / No aplica
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,claveinc,no,object,628,0,0.0,628,14-01-0022 | 14-01-0023 | 14-01-0024 | 14-01-0018 | 14-01-0019
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,estado,si,object,628,0,0.0,25,Aguascalientes
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,fechainic,si,datetime64[ms],628,0,0.0,144,2014-05-11 | 2014-05-15 | 2014-05-17 | 2014-04-17 | 2014-04-20
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,fechaliq,no,datetime64[ms],628,0,0.0,146,2014-05-11 | 2014-05-15 | 2014-05-17 | 2014-04-17 | 2014-04-20
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,herbac_ha,no,float64,628,0,0.0,118,6.3 | 11.2 | 12.0 | 38.0 | 5.5
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,hojar_ha,no,float64,628,0,0.0,85,0.0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,id,no,float64,628,0,0.0,628,1.0 | 2.0 | 3.0 | 4.0 | 5.0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,municipio,no,object,628,0,0.0,206,Aguascalientes | San Francisco de los Romo | Jesus Maria | Asientos | Rincon de Romos
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,predio,no,object,628,0,0.0,458,El Varal | Ejido Cañada Honda | Ejido Jesu Maria | Rancho Las Tres Marias | Barranca La Tomatina
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,renuev_ha,no,float64,628,0,0.0,38,0.0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,suelorg_ha,no,float64,628,0,0.0,25,0.0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,tipimpac,no,object,628,0,0.0,3,Impacto Minimo | Impacto Moderado
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,tipoinc,no,object,628,0,0.0,3,Superficial
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,tipveg,no,object,628,0,0.0,34,Matorral Desertico Microfilo | Matorral Crasicaule | Mezquital (Xerofilo) | Mezquital (Otros Tipos)
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,anp,no,object,1105,0,0.0,31,0 | CADNR 043 Porcion Sierra Valparaiso | CADNR 043 Porcion Sierra de Juchipila | CADNR 043 Porcion Sin Nombre
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,anp_hectar,no,float64,1105,0,0.0,82,0.0 | 24.81 | 66.61 | 6.65
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,arbadulto,no,float64,1105,0,0.0,30,0.0
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,arbustivo,no,float64,1105,0,0.0,212,2.34 | 0.0 | 0.49 | 6.61
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,area_ha,no,float64,1105,0,0.0,411,30.76 | 1.0 | 0.6 | 1.49 | 24.81
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,causa,no,object,1105,0,0.0,13,Actividades Agropecuarias | Fumadores | Otras causas | Intencional
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,causa_espe,no,object,1105,0,0.0,18,Quema para preparacion de siembra | Ninguna / No aplica | Quema para pastoreo | Desconocidas | Vandalismo
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,clave_del,no,object,1105,0,0.0,1105,15-32-0007 | 15-32-0008 | 15-32-0009 | 15-32-0011 | 15-32-0012
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,estado,si,float64,1105,0,0.0,31,32.0
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,estado_1,no,object,1105,0,0.0,31,Zacatecas
